id,category,question,expected_answer,expected_source_file,system_answer,answer_mode,verdict,judge_reason,retrieval_hit,cited_files,latency_sec
leave_01,factual,"How many days of Casual Leave am I entitled to per year, and how does it accrue?","12 days of Casual Leave per year, accruing at 1 day per month. Up to 6 unused days can be carried forward to the next year. It is not encashable.",Employee_Leave_Policy.pdf,"You are entitled to a maximum of 6 days of Casual Leave (CL) per year. Casual Leave may be availed from the date of joining, but it does not carry forward to the next year and any unutilized days will lapse.",scoped_answer,INCORRECT,The system answer states the wrong number of Casual Leave days and contradicts the accrual and carry forward conditions.,True,Employee_Leave_Policy.pdf,9.93
leave_02,factual,Do I need a medical certificate for a 2-day sick leave?,"No. Sick leave up to 2 consecutive days can be taken without a medical certificate. Beyond 2 consecutive days, a medical certificate is required, submitted within 5 working days of resuming work, or the leave is marked Leave Without Pay.",Employee_Leave_Policy.pdf,"No, a medical certificate is not required for a 2-day sick leave.",direct_answer,PARTIAL,The system answer correctly states that a medical certificate is not required for a 2-day sick leave but omits the information about the requirement for a medical certificate beyond 2 days and the consequences of not submitting it.,True,Employee_Leave_Policy.pdf,7.66
leave_03,factual,"How many weeks of maternity leave are employees entitled to, and does it change for a third child?","26 weeks of maternity leave for employees with fewer than two surviving children. For employees with two or more surviving children, entitlement is reduced to 12 weeks. Up to 8 weeks may be taken before the expected delivery date.",Employee_Leave_Policy.pdf,"Employees are entitled to 26 weeks of maternity leave if they have worked for at least 80 days in the 12 months preceding the expected delivery date. However, for employees with two or more surviving children, the entitlement is reduced to 12 weeks. This indicates that the maternity leave duration does change for a third child.",scoped_answer,CORRECT,"The system answer accurately reflects the key facts regarding the duration of maternity leave for employees with fewer than two surviving children and those with two or more, including the condition about the third child.",True,Employee_Leave_Policy.pdf,8.79
leave_04,multi_hop,"When does Privilege Leave become available to a new employee, and does probation affect it?","Privilege Leave accrues from day one but can only be used after 90 days of continuous service. Employees on probation are eligible for all leave types except Privilege Leave, which activates automatically upon confirmation.",Employee_Leave_Policy.pdf,"Privilege Leave accrues from day one but may only be availed after completion of 90 days of continuous service. Employees on probation are eligible for all leave types except Privilege Leave, which activates automatically upon confirmation.",scoped_answer,CORRECT,The system answer accurately reflects all key facts from the gold answer without contradictions.,True,Employee_Leave_Policy.pdf,6.23
leave_05,factual,"If I combine Casual Leave and Sick Leave for a long absence, is there a limit before I need extra approval?","Yes, any combined absence exceeding 5 consecutive days requires department head approval, regardless of which leave types are combined.",Employee_Leave_Policy.pdf,"Yes, but any combined absence exceeding 5 consecutive days will require department head approval regardless of which leave types are combined.",direct_answer,CORRECT,The system answer accurately reflects the key fact from the gold answer without contradictions.,True,Employee_Leave_Policy.pdf,6.97
leave_06,factual,What happens to unused Privilege Leave when an employee leaves the company?,"Unutilized Privilege Leave, up to the accumulated cap of 45 days, is encashed at final settlement based on the employee's last drawn basic salary. Casual and Sick Leave balances lapse and are not encashable.",Employee_Leave_Policy.pdf,"Unused Privilege Leave, up to the accumulated cap of 45 days, is encashed at the time of final settlement based on the employee's last drawn basic salary.",direct_answer,PARTIAL,The system answer is missing the information about Casual and Sick Leave balances lapsing and not being encashable.,True,Employee_Leave_Policy.pdf,7.89
onboard_01,factual,"How long is the standard probation period for new employees, and can it be extended?","6 months from date of joining, extendable by up to 3 months at the manager's discretion if the performance evaluation is inconclusive.",Onboarding_and_Offboarding_Policy.pdf,"The standard probation period for new employees is 6 months, which can be extended by up to 3 months at the manager's discretion if performance evaluation is inconclusive. If employees are not confirmed, their probation may be extended once, or their employment may be terminated with notice as per the employment contract.",scoped_answer,PARTIAL,"The system answer includes all key facts from the gold answer but adds an unsupported claim about termination, which is not mentioned in the gold answer.",True,Onboarding_and_Offboarding_Policy.pdf,7.72
onboard_02,factual,"What is the notice period for a Manager grade (L4-L5) employee who resigns, and can it be bought out?","60 days notice period. It can be bought out for up to 30 days, subject to mutual agreement and Finance approval.",Onboarding_and_Offboarding_Policy.pdf,"For a Manager grade (L4-L5) employee who resigns, the notice period is 60 days. This notice period can be bought out, up to 30 days, subject to mutual agreement and Finance approval.",scoped_answer,CORRECT,The system answer accurately reflects all key facts from the gold answer without contradictions.,True,Onboarding_and_Offboarding_Policy.pdf,7.59
onboard_03,multi_hop,"How soon after the last working day is full and final settlement processed, and when is the relieving letter issued?","Full and final settlement is processed within 45 days of the last working day, subject to completion of all clearances. The relieving letter and experience certificate are issued within 7 working days of settlement completion.",Onboarding_and_Offboarding_Policy.pdf,"Full and final settlement is processed within 45 days of the last working day, subject to completion of all clearances. The relieving letter is issued within 7 working days of the settlement completion.",scoped_answer,PARTIAL,The system answer is missing the mention of the experience certificate being issued along with the relieving letter.,True,Onboarding_and_Offboarding_Policy.pdf,8.1
onboard_04,factual,Can an employee who was terminated for disciplinary reasons be rehired?,Employees separated for disciplinary reasons are marked 'Not Eligible for Rehire' in the HRMS and require CHRO approval to override that.,Onboarding_and_Offboarding_Policy.pdf,Employees separated for disciplinary reasons are marked 'Not Eligible for Rehire' in the HRMS and require CHRO approval to override this status.,scoped_answer,CORRECT,The system answer accurately reflects all key facts from the gold answer without contradictions.,True,Onboarding_and_Offboarding_Policy.pdf,7.12
onboard_05,factual,Is the standard resignation notice table used for involuntary separations like layoffs?,"No. Involuntary separations (performance-based termination, redundancy, disciplinary termination) follow the same clearance checklist, but notice period and severance are governed by the Termination and Exit Policy (HR-POL-013) and local labor law, not the standard resignation notice table.",Onboarding_and_Offboarding_Policy.pdf,"No, the standard resignation notice table is not used for involuntary separations like layoffs. Instead, notice period and severance terms are governed by the Termination and Exit Policy and applicable local labor law.",direct_answer,CORRECT,The system answer accurately reflects the key facts from the gold answer without contradictions.,True,Onboarding_and_Offboarding_Policy.pdf,8.61
conduct_01,factual,What is the maximum value of a gift an employee can accept from a vendor without prior disclosure?,"INR 5,000 per calendar year without prior disclosure to the Ethics Office. Cash or cash-equivalent gifts of any value must be declined regardless.",Code_of_Conduct_Policy.pdf,"The maximum value of a gift an employee can accept from a vendor without prior disclosure is INR 5,000 in a calendar year.",direct_answer,PARTIAL,The system answer correctly states the maximum value of a gift but omits the important detail about cash or cash-equivalent gifts needing to be declined.,True,Code_of_Conduct_Policy.pdf,7.72
conduct_02,factual,How long does the Internal Complaints Committee have to complete a POSH inquiry?,The ICC must complete the inquiry within 90 days of a complaint being filed.,Code_of_Conduct_Policy.pdf,The Internal Complaints Committee (ICC) is obligated to complete the inquiry within 90 days of a complaint being filed.,direct_answer,CORRECT,The system answer accurately reflects the key fact from the gold answer regarding the 90-day timeframe for the ICC to complete the inquiry.,True,Code_of_Conduct_Policy.pdf,9.63
